Site,sitetype,SR,AB,Spiders,Beetles,Flies,True Bugs,Wasps and Ants,Butterflies,Lacewings,Crickets,ReportName
A,Garden,57,2080,0.002403846,0.004807692,0.184134615,0.7875,0.021153846,0,0,0,A Garden
B,Garden,111,3558,0.004215852,0.010399101,0.173974143,0.774030354,0.033164699,0.001124227,0.000562114,0.002529511,B Garden
C,Forest,16,37,0.108108108,0.054054054,0.594594595,0.027027027,0.081081081,0.081081081,0,0.054054054,C Forest
D,Garden,13,30,0.266666667,0.033333333,0.466666667,0.033333333,0,0.1,0.066666667,0.033333333,D Garden
E,Scrub,30,63,0.047619048,0.412698413,0.047619048,0.19047619,0.19047619,0.047619048,0,0.063492063,E Scrub
F,Scrub,26,66,0.03030303,0.378787879,0.015151515,0.257575758,0.212121212,0.060606061,0.03030303,0.015151515,E Scrub
G,Forest,9,9,0.444444444,0,0,0.111111111,0.333333333,0,0,0.111111111,G Forest
H,Forest,13,47,0.021276596,0,0.744680851,0.106382979,0.042553191,0.085106383,0,0,H Forest
I,Forest,5,20,0.05,0,0.8,0,0.05,0.05,0,0.05,I Forest
J,Garden,9,17,0.529411765,0,0.294117647,0,0,0,0.176470588,0,J Garden
K,Garden,34,89,0.101123596,0.157303371,0.078651685,0.584269663,0.056179775,0,0.011235955,0.011235955,K Garden
L,Scrub,7,13,0,0.153846154,0,0.615384615,0.230769231,0,0,0,L Scrub
M,Garden,34,75,0.106666667,0.106666667,0.293333333,0.44,0.04,0,0,0.013333333,M Garden
N,Garden,136,766,0.079634465,0.032637076,0.180156658,0.566579634,0.113577023,0,0.006527415,0.020887728,N Garden
O,Garden,60,365,0.024657534,0.021917808,0.517808219,0.339726027,0.071232877,0.024657534,0,0,O Garden
P,Forest,22,32,0.21875,0.0625,0.4375,0,0.1875,0.0625,0,0.03125,P Forest
Q,Garden,11,16,0,0,0.625,0,0.375,0,0,0,Q Garden
R,Garden,51,923,0.008667389,0.004333694,0.287107259,0.651137595,0.048754063,0,0,0,R Garden
S,Scrub,15,20,0.4,0.05,0.05,0.5,0,0,0,0,S Scrub
T,Forest,4,4,0.75,0,0,0,0,0,0,0.25,T Forest
U,Garden,55,202,0.044554455,0.02970297,0.084158416,0.762376238,0.054455446,0,0.014851485,0.00990099,U Garden
V,Garden,46,205,0.034146341,0.009756098,0.263414634,0.585365854,0.097560976,0.004878049,0.004878049,0,V Garden
X,Garden,14,42,0.047619048,0.023809524,0.023809524,0.785714286,0.047619048,0.023809524,0,0.047619048,X Garden
Y,Garden,40,528,0.005681818,0.001893939,0.168560606,0.806818182,0.009469697,0,0,0.007575758,Y Garden
Z,Scrub,17,28,0.178571429,0.071428571,0.071428571,0.142857143,0.357142857,0,0,0.178571429,Z Scrub
AA,Garden,4,5,0,0,0.4,0.2,0,0,0.4,0,AA Garden
BB,Scrub,30,56,0.142857143,0.339285714,0.267857143,0.035714286,0.107142857,0.053571429,0,0.053571429,BB Scrub
CC,Garden,37,4524,0.000442087,0.00066313,0.040008842,0.957338638,0.001547303,0,0,0,CC Garden
DD,Garden,21,39,0.025641026,0.128205128,0.256410256,0.307692308,0.256410256,0,0.025641026,0,DD Garden
EE,Scrub,38,84,0.071428571,0.321428571,0.023809524,0.357142857,0.178571429,0,0.023809524,0.023809524,EE Scrub
FF,Garden,114,565,0.079646018,0.079646018,0.394690265,0.37699115,0.03539823,0.010619469,0.003539823,0.019469027,FF Garden
