,,Black-legged Ticks,,,Brown Dog Ticks,,,American Dog Ticks,,,Longhorned tick,,,Lone star tick,,
Site Name,Session,Adult,Nymph,Larva,Adult,Nymph,Larva,Adult,Nymph,Larva,Adult,Nymph,Larva,Adult,Nymph,Larva
L,ES,,17,4,1,,,,,,,,,,,
G,ES,,13,0,,,,,,,,,,,,
M,ES,,5,6,,,,1,,,,,,,,
I,ES,,28,,,,,,,,,,,,,
N,ES,,8,1,,,,,,,,,,,,
O,ES,1,5,,,,,1,,,,2,,,,
H,ES,,15,,1,,,,,,,,,,,
E,ES,,8,3,,,,,,,,,,,,
D,ES,,9,,,,,,,,,,,,,
P,ES,,3,,,,,,,,,,,,,
K,ES,,1,,,,,,,,,1,,,,
F,ES,,3,,,,,,,,,,,,,
C,ES,,4,,,,,,,,,,,,,
B,ES,,3,,,,,,,,,,,,,
J,ES,,7,,,,,,,,,,,,,
A,ES,,3,,,,,,,,,,,,,
A,LS,,,4,,,,,,,,,,,,
N,LS,,2,42,,,,,,,,,,,,
I,LS,,,16,,,,,,,,,,,,
J,LS,,,93,,,,,,,,,,,,
B,LS,,,33,,,,,,,,,,,,
C,LS,,,35,,,,,,,,,,,,
P,LS,,,6,,,,,,,,,,,,
O,LS,,,34,,,,,,,,,,,,
M,LS,,,132,,,,,,,,,,,,2
G,LS,,,81,,,,,,,,,,,,59
F,LS,,,10,,,,,,,,,,,,
L,LS,,1,186,,,,,,,,,,,,
K,LS,,,20,,,,,,,,,,,,
E,LS,,,188,,,,,,,,,,,,
H,LS,,1,68,,,,,,,,,,,,
,,,136,962,,,,,,,,,,,,
