Site,sitetype,Exotic Parrots,Chestnut-fronted Macaw,Rock Pigeon,House Sparrow,Saffron Finch,ReportName
A,Garden,0,0,0,0,1,A Garden
B,Garden,0,0,0,0,0,B Garden
C,Forest,0,0,0,0,1,C Forest
D,Garden,0,0,0,1,0,D Garden
E,Scrub,0,0,0,0,0,E Scrub
F,Scrub,0,0,0,0,1,E Scrub
G,Forest,0,0,0,0,0,G Forest
H,Forest,0,0,0,0,0,H Forest
I,Forest,0,0,0,0,0,I Forest
J,Garden,0,0,0,0,1,J Garden
K,Garden,0,0,0,0,0,K Garden
L,Scrub,0,0,0,0,0,L Scrub
M,Garden,0,0,0,0,1,M Garden
N,Garden,1,1,0,0,1,N Garden
O,Garden,0,0,0,0,1,O Garden
P,Forest,0,1,0,0,0,P Forest
Q,Garden,0,0,0,0,1,Q Garden
R,Garden,0,0,0,0,0,R Garden
S,Scrub,0,0,0,0,0,S Scrub
T,Forest,0,0,0,0,0,T Forest
U,Garden,0,0,0,0,0,U Garden
V,Garden,0,0,0,0,1,V Garden
X,Garden,0,0,0,0,1,X Garden
Y,Garden,0,0,0,1,1,Y Garden
Z,Scrub,0,0,0,0,0,Z Scrub
AA,Garden,0,0,0,0,0,AA Garden
BB,Scrub,0,0,0,0,0,BB Scrub
CC,Garden,0,0,1,0,0,CC Garden
DD,Garden,1,1,1,0,1,DD Garden
EE,Scrub,0,0,0,0,1,EE Scrub
FF,Garden,0,0,0,0,0,FF Garden
