Site,sitetype,Mourning Gecko,Tropical House Gecko,Johnstone's Whistling Frog,Cuban Tree Frog,Colombian Four-eyed Frog,Asian House Gecko,ReportName
A,Garden,NA,NA,NA,NA,NA,NA,A Garden
B,Garden,0,1,1,0,0,0,B Garden
C,Forest,0,0,0,0,0,0,C Forest
D,Garden,0,1,0,0,1,0,D Garden
E,Scrub,0,0,0,0,0,0,E Scrub
F,Scrub,0,0,0,0,0,0,E Scrub
G,Forest,0,0,0,0,0,0,G Forest
H,Forest,0,0,0,0,0,0,H Forest
I,Forest,0,0,0,0,1,0,I Forest
J,Garden,0,1,1,1,1,0,J Garden
K,Garden,0,0,0,0,1,0,K Garden
L,Scrub,0,0,0,0,0,0,L Scrub
M,Garden,0,1,0,0,1,0,M Garden
N,Garden,0,1,1,1,0,0,N Garden
O,Garden,0,1,0,0,0,0,O Garden
P,Forest,0,1,1,1,0,0,P Forest
Q,Garden,1,1,0,0,1,0,Q Garden
R,Garden,1,1,0,1,0,0,R Garden
S,Scrub,0,0,0,0,1,0,S Scrub
T,Forest,0,0,0,0,0,0,T Forest
U,Garden,NA,NA,NA,NA,NA,NA,U Garden
V,Garden,0,1,0,0,1,0,V Garden
X,Garden,NA,NA,NA,NA,NA,NA,X Garden
Y,Garden,NA,NA,NA,NA,NA,NA,Y Garden
Z,Scrub,0,0,0,0,1,0,Z Scrub
AA,Garden,NA,NA,NA,NA,NA,NA,AA Garden
BB,Scrub,0,0,0,0,0,0,BB Scrub
CC,Garden,1,1,1,0,0,0,CC Garden
DD,Garden,1,1,0,0,0,1,DD Garden
EE,Scrub,0,0,0,0,0,0,EE Scrub
FF,Garden,0,1,0,1,0,1,FF Garden
