Site,sitetype,Scientific name,Present,Common Name
A,Garden,Aratinga pertinax,1,Brown-throated Parrot
B,Garden,Aratinga pertinax,0,Brown-throated Parrot
C,Forest,Aratinga pertinax,1,Brown-throated Parrot
D,Garden,Aratinga pertinax,1,Brown-throated Parrot
E,Scrub,Aratinga pertinax,1,Brown-throated Parrot
F,Scrub,Aratinga pertinax,1,Brown-throated Parrot
G,Forest,Aratinga pertinax,1,Brown-throated Parrot
H,Forest,Aratinga pertinax,1,Brown-throated Parrot
I,Forest,Aratinga pertinax,1,Brown-throated Parrot
J,Garden,Aratinga pertinax,1,Brown-throated Parrot
K,Garden,Aratinga pertinax,1,Brown-throated Parrot
L,Scrub,Aratinga pertinax,1,Brown-throated Parrot
M,Garden,Aratinga pertinax,1,Brown-throated Parrot
N,Garden,Aratinga pertinax,1,Brown-throated Parrot
O,Garden,Aratinga pertinax,0,Brown-throated Parrot
P,Forest,Aratinga pertinax,1,Brown-throated Parrot
Q,Garden,Aratinga pertinax,1,Brown-throated Parrot
R,Garden,Aratinga pertinax,1,Brown-throated Parrot
S,Scrub,Aratinga pertinax,1,Brown-throated Parrot
T,Forest,Aratinga pertinax,1,Brown-throated Parrot
U,Garden,Aratinga pertinax,1,Brown-throated Parrot
V,Garden,Aratinga pertinax,1,Brown-throated Parrot
X,Garden,Aratinga pertinax,1,Brown-throated Parrot
Y,Garden,Aratinga pertinax,1,Brown-throated Parrot
Z,Scrub,Aratinga pertinax,1,Brown-throated Parrot
AA,Garden,Aratinga pertinax,1,Brown-throated Parrot
BB,Scrub,Aratinga pertinax,1,Brown-throated Parrot
CC,Garden,Aratinga pertinax,1,Brown-throated Parrot
DD,Garden,Aratinga pertinax,1,Brown-throated Parrot
EE,Scrub,Aratinga pertinax,1,Brown-throated Parrot
FF,Garden,Aratinga pertinax,1,Brown-throated Parrot
A,Garden,Caracara cheriway,0,Crested Caracara
B,Garden,Caracara cheriway,0,Crested Caracara
C,Forest,Caracara cheriway,0,Crested Caracara
D,Garden,Caracara cheriway,0,Crested Caracara
E,Scrub,Caracara cheriway,1,Crested Caracara
F,Scrub,Caracara cheriway,0,Crested Caracara
G,Forest,Caracara cheriway,0,Crested Caracara
H,Forest,Caracara cheriway,0,Crested Caracara
I,Forest,Caracara cheriway,1,Crested Caracara
J,Garden,Caracara cheriway,0,Crested Caracara
K,Garden,Caracara cheriway,0,Crested Caracara
L,Scrub,Caracara cheriway,0,Crested Caracara
M,Garden,Caracara cheriway,0,Crested Caracara
N,Garden,Caracara cheriway,0,Crested Caracara
O,Garden,Caracara cheriway,0,Crested Caracara
P,Forest,Caracara cheriway,0,Crested Caracara
Q,Garden,Caracara cheriway,0,Crested Caracara
R,Garden,Caracara cheriway,0,Crested Caracara
S,Scrub,Caracara cheriway,1,Crested Caracara
T,Forest,Caracara cheriway,0,Crested Caracara
U,Garden,Caracara cheriway,0,Crested Caracara
V,Garden,Caracara cheriway,0,Crested Caracara
X,Garden,Caracara cheriway,0,Crested Caracara
Y,Garden,Caracara cheriway,0,Crested Caracara
Z,Scrub,Caracara cheriway,0,Crested Caracara
AA,Garden,Caracara cheriway,0,Crested Caracara
BB,Scrub,Caracara cheriway,1,Crested Caracara
CC,Garden,Caracara cheriway,0,Crested Caracara
DD,Garden,Caracara cheriway,0,Crested Caracara
EE,Scrub,Caracara cheriway,0,Crested Caracara
FF,Garden,Caracara cheriway,0,Crested Caracara
A,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
B,Garden,Chlorostilbon mellisugus,0,Blue-tailed Emerald
C,Forest,Chlorostilbon mellisugus,0,Blue-tailed Emerald
D,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
E,Scrub,Chlorostilbon mellisugus,0,Blue-tailed Emerald
F,Scrub,Chlorostilbon mellisugus,1,Blue-tailed Emerald
G,Forest,Chlorostilbon mellisugus,0,Blue-tailed Emerald
H,Forest,Chlorostilbon mellisugus,1,Blue-tailed Emerald
I,Forest,Chlorostilbon mellisugus,0,Blue-tailed Emerald
J,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
K,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
L,Scrub,Chlorostilbon mellisugus,0,Blue-tailed Emerald
M,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
N,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
O,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
P,Forest,Chlorostilbon mellisugus,1,Blue-tailed Emerald
Q,Garden,Chlorostilbon mellisugus,0,Blue-tailed Emerald
R,Garden,Chlorostilbon mellisugus,0,Blue-tailed Emerald
S,Scrub,Chlorostilbon mellisugus,1,Blue-tailed Emerald
T,Forest,Chlorostilbon mellisugus,1,Blue-tailed Emerald
U,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
V,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
X,Garden,Chlorostilbon mellisugus,0,Blue-tailed Emerald
Y,Garden,Chlorostilbon mellisugus,0,Blue-tailed Emerald
Z,Scrub,Chlorostilbon mellisugus,1,Blue-tailed Emerald
AA,Garden,Chlorostilbon mellisugus,0,Blue-tailed Emerald
BB,Scrub,Chlorostilbon mellisugus,1,Blue-tailed Emerald
CC,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
DD,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
EE,Scrub,Chlorostilbon mellisugus,1,Blue-tailed Emerald
FF,Garden,Chlorostilbon mellisugus,1,Blue-tailed Emerald
A,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
B,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
C,Forest,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
D,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
E,Scrub,Chrysolampis mosquitus,1,Ruby-topaz Hummingbird
F,Scrub,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
G,Forest,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
H,Forest,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
I,Forest,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
J,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
K,Garden,Chrysolampis mosquitus,1,Ruby-topaz Hummingbird
L,Scrub,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
M,Garden,Chrysolampis mosquitus,1,Ruby-topaz Hummingbird
N,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
O,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
P,Forest,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
Q,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
R,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
S,Scrub,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
T,Forest,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
U,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
V,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
X,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
Y,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
Z,Scrub,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
AA,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
BB,Scrub,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
CC,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
DD,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
EE,Scrub,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
FF,Garden,Chrysolampis mosquitus,0,Ruby-topaz Hummingbird
A,Garden,Coereba Hveola,1,Bananaquit
B,Garden,Coereba Hveola,1,Bananaquit
C,Forest,Coereba Hveola,1,Bananaquit
D,Garden,Coereba Hveola,1,Bananaquit
E,Scrub,Coereba Hveola,1,Bananaquit
F,Scrub,Coereba Hveola,1,Bananaquit
G,Forest,Coereba Hveola,1,Bananaquit
H,Forest,Coereba Hveola,1,Bananaquit
I,Forest,Coereba Hveola,1,Bananaquit
J,Garden,Coereba Hveola,1,Bananaquit
K,Garden,Coereba Hveola,1,Bananaquit
L,Scrub,Coereba Hveola,0,Bananaquit
M,Garden,Coereba Hveola,1,Bananaquit
N,Garden,Coereba Hveola,1,Bananaquit
O,Garden,Coereba Hveola,1,Bananaquit
P,Forest,Coereba Hveola,1,Bananaquit
Q,Garden,Coereba Hveola,1,Bananaquit
R,Garden,Coereba Hveola,1,Bananaquit
S,Scrub,Coereba Hveola,1,Bananaquit
T,Forest,Coereba Hveola,1,Bananaquit
U,Garden,Coereba Hveola,1,Bananaquit
V,Garden,Coereba Hveola,1,Bananaquit
X,Garden,Coereba Hveola,1,Bananaquit
Y,Garden,Coereba Hveola,1,Bananaquit
Z,Scrub,Coereba Hveola,1,Bananaquit
AA,Garden,Coereba Hveola,0,Bananaquit
BB,Scrub,Coereba Hveola,1,Bananaquit
