,,Black-legged Ticks,,,Brown Dog Ticks,,,American Dog Ticks,,,Longhorned tick,,,Lone star tick,,
Site Name,Session,Adult,Nymph,Larva,Adult,Nymph,Larva,Adult,Nymph,Larva,Adult,Nymph,Larva,Adult,Nymph,Larva
TGF,ES,,17,4,1,,,,,,,,,,,
HVR,ES,,13,0,,,,,,,,,,,,
WME,ES,,5,6,,,,1,,,,,,,,
MP,ES,,28,,,,,,,,,,,,,
WMW,ES,,8,1,,,,,,,,,,,,
FPW,ES,1,5,,,,,1,,,,2,,,,
MFN,ES,,15,,1,,,,,,,,,,,
GNA,ES,,8,3,,,,,,,,,,,,
FPE,ES,,9,,,,,,,,,,,,,
WVP,ES,,3,,,,,,,,,,,,,
SQR,ES,,1,,,,,,,,,1,,,,
HH,ES,,3,,,,,,,,,,,,,
CWW,ES,,4,,,,,,,,,,,,,
CWE,ES,,3,,,,,,,,,,,,,
SMD,ES,,7,,,,,,,,,,,,,
BBP,ES,,3,,,,,,,,,,,,,
BBP,LS,,,4,,,,,,,,,,,,
WMW,LS,,2,42,,,,,,,,,,,,
MP,LS,,,16,,,,,,,,,,,,
SMD,LS,,,93,,,,,,,,,,,,
CWE,LS,,,33,,,,,,,,,,,,
CWW,LS,,,35,,,,,,,,,,,,
WVP,LS,,,6,,,,,,,,,,,,
FPW ,LS,,,34,,,,,,,,,,,,
WME,LS,,,132,,,,,,,,,,,,2
HVR,LS,,,81,,,,,,,,,,,,59
HH,LS,,,10,,,,,,,,,,,,
TGF,LS,,1,186,,,,,,,,,,,,
SQR,LS,,,20,,,,,,,,,,,,
GNA,LS,,,188,,,,,,,,,,,,
MFN,LS,,1,68,,,,,,,,,,,,
,,,136,962,,,,,,,,,,,,
